Species ,Biorep,Subtype,Ci ,A,Pairing,Pressure,Temp,Ci_p,Cm,Qobs,Plant
Aretro,5,NAD-ME,1277.389453,41.08757832,a,101.48,30.21835899,1277.389453,1277.389453,1800,12
Aros,1,NAD-ME,10.69021819,1.943483952,c,101.17,30.45856667,10.69021819,10.69021819,1800,13
Aros,1,NAD-ME,15.40586138,5.079150763,c,101.17,30.46326256,15.40586138,15.40586138,1800,13
Aros,1,NAD-ME,19.83941537,8.159823841,c,101.17,30.46574974,19.83941537,19.83941537,1800,13
Aros,1,NAD-ME,24.08158261,11.08538165,c,101.17,30.4737854,24.08158261,24.08158261,1800,13
Aros,1,NAD-ME,28.13898355,13.60784796,c,101.17,30.48038483,28.13898355,28.13898355,1800,13
Aros,1,NAD-ME,37.40878415,18.28403634,c,101.17,30.48466682,37.40878415,37.40878415,1800,13
Aros,1,NAD-ME,46.53532605,22.20224444,c,101.17,30.48705864,46.53532605,46.53532605,1800,13
Aros,1,NAD-ME,55.90035602,25.25451213,c,101.17,30.47593498,55.90035602,55.90035602,1800,13
Aros,1,NAD-ME,80.06707839,30.49232046,c,101.17,30.52308846,80.06707839,80.06707839,1800,13
Aros,1,NAD-ME,119.4277873,34.5209267,c,101.17,30.53490639,119.4277873,119.4277873,1800,13
Aros,1,NAD-ME,212.0470872,37.08708281,c,101.17,30.54573441,212.0470872,212.0470872,1800,13
Aros,1,NAD-ME,304.5862196,38.03327127,c,101.17,30.53546333,304.5862196,304.5862196,1800,13
Aros,1,NAD-ME,315.3316294,37.83298047,c,101.17,30.50819969,315.3316294,315.3316294,1800,13
Aros,1,NAD-ME,579.6821776,38.87536432,c,101.17,30.46998215,579.6821776,579.6821776,1800,13
Aros,1,NAD-ME,948.6444135,39.34876941,c,101.17,30.42692184,948.6444135,948.6444135,1800,13
Aros,1,NAD-ME,1519.660281,40.77783415,c,101.17,30.382164,1519.660281,1519.660281,1800,13
Aros,2,NAD-ME,9.588564619,2.451756281,c,101,31.17985916,9.588564619,9.588564619,1800,14
Aros,2,NAD-ME,14.17344854,5.755447792,c,101,31.19021988,14.17344854,14.17344854,1800,14
Aros,2,NAD-ME,18.89656026,8.640834323,c,101,31.18404579,18.89656026,18.89656026,1800,14
Aros,2,NAD-ME,22.3636708,11.74513949,c,101,31.20528793,22.3636708,22.3636708,1800,14
Aros,2,NAD-ME,27.00002601,13.54713751,c,101,31.18769646,27.00002601,27.00002601,1800,14
Aros,2,NAD-ME,34.52827942,17.85909289,c,101,31.1901722,34.52827942,34.52827942,1800,14
Aros,2,NAD-ME,43.72991084,20.7660884,c,101,31.18559647,43.72991084,43.72991084,1800,14
Aros,2,NAD-ME,51.97494547,22.98719403,c,101,31.19338417,51.97494547,51.97494547,1800,14
Aros,2,NAD-ME,69.06437293,27.53336375,c,101,31.20778084,69.06437293,69.06437293,1800,14
Aros,2,NAD-ME,90.98433766,31.39074769,c,101,31.41884422,90.98433766,90.98433766,1800,14
Aros,2,NAD-ME,145.9817433,37.45334898,c,101,31.20543098,145.9817433,145.9817433,1800,14
Aros,2,NAD-ME,219.5120873,39.61349199,c,101,31.17722321,219.5120873,219.5120873,1800,14
Aros,2,NAD-ME,264.663526,42.32212095,c,101,31.19051743,264.663526,264.663526,1800,14
Aros,2,NAD-ME,445.4966348,43.83110728,c,101,31.19127464,445.4966348,445.4966348,1800,14
Aros,2,NAD-ME,817.2151067,45.36377342,c,101,31.1726017,817.2151067,817.2151067,1800,14
Aros,2,NAD-ME,1406.559997,49.7423843,c,101,31.15777206,1406.559997,1406.559997,1800,14
Aros,3,NAD-ME,3.956778069,0.896607215,c,100.25,29.76631737,3.956778069,3.956778069,1800,15
Aros,3,NAD-ME,7.324791434,3.480327743,c,100.25,29.77949524,7.324791434,7.324791434,1800,15
Aros,3,NAD-ME,11.80667552,6.892001954,c,100.25,29.79824448,11.80667552,11.80667552,1800,15
Aros,3,NAD-ME,15.91116179,10.07859259,c,100.25,29.90356636,15.91116179,15.91116179,1800,15
Aros,3,NAD-ME,20.1412851,13.09796583,c,100.25,29.86053467,20.1412851,20.1412851,1800,15
Aros,3,NAD-ME,23.80627308,15.71398546,c,100.25,29.8752346,23.80627308,23.80627308,1800,15
Aros,3,NAD-ME,32.71573145,20.45237081,c,100.25,29.90742874,32.71573145,32.71573145,1800,15
Aros,3,NAD-ME,41.78234329,24.39459569,c,100.25,29.97033691,41.78234329,41.78234329,1800,15
Aros,3,NAD-ME,51.86820521,27.54208761,c,100.25,29.95852089,51.86820521,51.86820521,1800,15
Aros,3,NAD-ME,75.8863378,32.9719349,c,100.25,29.99150085,75.8863378,75.8863378,1800,15
Aros,3,NAD-ME,114.729054,37.18107957,c,100.25,30.01332855,114.729054,114.729054,1800,15
Aros,3,NAD-ME,203.2723031,40.59145264,c,100.25,30.03342819,203.2723031,203.2723031,1800,15
Aros,3,NAD-ME,281.416845,42.40667816,c,100.25,30.27103996,281.416845,281.416845,1800,15
Aros,3,NAD-ME,298.0319946,41.60145402,c,100.25,30.01889992,298.0319946,298.0319946,1800,15
Aros,3,NAD-ME,563.5368597,42.77840719,c,100.25,29.99310875,563.5368597,563.5368597,1800,15
Aros,3,NAD-ME,927.8485203,43.31088937,c,100.25,29.96762276,927.8485203,927.8485203,1800,15
Aros,3,NAD-ME,1490.511408,45.86797209,c,100.25,29.94933891,1490.511408,1490.511408,1800,15
Aros,4,NAD-ME,4.708244706,0.33100892,c,99.8,30.12089539,4.708244706,4.708244706,1800,16
Aros,4,NAD-ME,8.693731044,1.897008513,c,99.8,30.11947632,8.693731044,8.693731044,1800,16
Aros,4,NAD-ME,13.0391469,4.434914201,c,99.8,30.11400032,13.0391469,13.0391469,1800,16
